category,phrase_or_pattern,is_regex,notes
emotional coercion,"\b(i\s+)?(want|wanna|need)\s+to\s+see\s+(?:ur|your|u|the)?\s*(tits?|boobs?|nudes?|pussy|dick|cock)\b",TRUE,"regex: desire/demand pattern (e.g. 'i wanna see your...')"
emotional coercion,"\b(send|drop)\s+(the\s+)?(link|content|vids|pics)\b",TRUE,"regex: context-dependent solicitation (e.g. 'drop the link')"
emotional coercion,"\b(dumb|stupid|dirty|little|owned|slave)\s+(bitch|slut|whore|cunt|h[o0]e|toy|pig)\b",TRUE,"regex: degradation pattern (e.g. 'slave bitch')"
emotional coercion,"\b(cum|fuck|sex)\s*(dump|bucket|toy|hole|sleeve|doll)\b",TRUE,"regex: objectification pattern (e.g. 'cum dump')"
emotional coercion,"\bsl[u\*@]+t[sz]?\b",TRUE,regex: slut variants
emotional coercion,"\bwh[o0\*]+(?:re|r)(?:s|z)?\b",TRUE,regex: whore variants
emotional coercion,"\bb[i1!l\*]+t?ch(?:es|z)?\b",TRUE,regex: bitch variants
emotional coercion,"\bc[u\*]+nt[sz]?\b",TRUE,regex: cunt variants
emotional coercion,"\bh[o0][e3]s?\b",TRUE,regex: hoe variants
emotional coercion,"\bsk[a4\*]nk[sz]?\b",TRUE,regex: skank variants
emotional coercion,"\b(breed|breeding)\s+(stock|sow|mare)\b",TRUE,regex: dehumanizing breeding terms
emotional coercion,"\b(knows?|know)\s+(ur|your|yr)\s+place\b",TRUE,regex: subjugation phrase

sexual violence,sexual assault,FALSE,explicit term
sexual violence,rape,FALSE,explicit term
sexual violence,rapist,FALSE,perpetrator descriptor
sexual violence,groomed,FALSE,grooming process
sexual violence,grooming,FALSE,grooming process
sexual violence,stealthing,FALSE,non-consensual condom removal
sexual violence,sexual coercion,FALSE,explicit coercion term
sexual violence,groped,FALSE,non-consensual touch
sexual violence,molested,FALSE,explicit term
sexual violence,sa survivor,FALSE,sexual assault survivor
sexual violence,csa survivor,FALSE,child sexual assault survivor
sexual violence,csa,FALSE,child sexual assault abbreviation
sexual violence,forced[\W_]*sex,FALSE,forced sex phrase
sexual violence,touched[\W_]*without[\W_]*consent,FALSE,non-consensual touch
sexual violence,without my consent,FALSE,non-consent statement
sexual violence,r*pe,FALSE,censored explicit term

sexual violence,non[\W_]*con,TRUE,regex: non-con shorthand
sexual violence,r[\W_]*[a@4][\W_]*p[\W_]*e,TRUE,regex: rape variants including r*pe/r@pe/r4pe
sexual violence,r[\W_]*[a@4][\W_]*p[\W_]*i[\W_]*s[\W_]*t,TRUE,regex: rapist variants
sexual violence,g[\W_]*r[\W_]*[o0][\W_]*[o0][\W_]*m(?:ed|ing)?,TRUE,regex: grooming variants
sexual violence,m[\W_]*o[\W_]*l[\W_]*e[\W_]*s[\W_]*t(?:ed|ing)?,TRUE,regex: molest variants
sexual violence,non[\W_]*consensual,TRUE,regex: non-consensual spelling variants
sexual violence,"\b(without|no|lack\s+of)\s+consent\b",TRUE,"regex: without consent phrase"
sexual violence,"\bnon-?consensual\b",TRUE,"regex: non-consensual adjective"
sexual violence,i[\W_]*(did(?:n't| not)|do(?:n't| not))[\W_]*want[\W_]*to[\W_]*but,TRUE,regex: non-consensual phrasing w/ contractions
sexual violence,"\b(did|does|could|can|would|was|were)n(?:'|o)?t\s+(?:even\s+|give\s+)?consent(?:ed)?\b",TRUE,"regex: did not/could not consent"
sexual violence,"\bunable\s+to\s+consent\b",TRUE,"regex: unable to consent"
sexual violence,"\bconsent\s+(was|is)\s+(not|never)\s+(given|involved)\b",TRUE,"regex: consent was never given"
sexual violence,sexually coerced,FALSE,explicit coercion phrase

reputational coercion,sextortion,FALSE,direct sextortion term
reputational coercion,revenge porn,FALSE,non-consensual image sharing
reputational coercion,leak photos,FALSE,threat to share images
reputational coercion,leaked nudes,FALSE,past tense image sharing
reputational coercion,blackmail,FALSE,financial or social coercion
reputational coercion,blackmailing,FALSE,active coercion
reputational coercion,doxxing,FALSE,sharing private info
reputational coercion,doxxed,FALSE,past tense private info share
reputational coercion,threatened to expose,FALSE,threat to expose content/secrets
reputational coercion,ruin my reputation,FALSE,social threat
reputational coercion,ruin my life,FALSE,existential threat
reputational coercion,send to my boss,FALSE,employment threat
reputational coercion,threatened to leak,FALSE,leak + threat
reputational coercion,threatened to post,FALSE,threat to upload/share
reputational coercion,blackmail nudes,FALSE,blackmail + nudes
reputational coercion,blackmailed me,FALSE,general blackmail pattern
reputational coercion,smear[\W_]*campaign,FALSE,smear campaign

reputational coercion,if[\W_]*you[\W_]*(do(?:n't| not)|did(?:n't| not))[\W_]*(send|pay),TRUE,regex: conditional coercion (if you don't send/pay)
reputational coercion,expos(?:ed|ing|e),TRUE,regex: exposure variants
reputational coercion,leak(?:ed|ing)?[\W_]*nudes,TRUE,regex: leaked nudes
reputational coercion,ruin[\W_]*my[\W_]*(reputation|life),TRUE,regex: ruin reputation/life threats

self harm,suicide threat,FALSE,coercive suicide threat
self harm,threatened suicide,FALSE,coercive suicide threat
self harm,if you leave,FALSE,conditional threat context
self harm,if you break up,FALSE,conditional threat context
self harm,kms,FALSE,kill myself abbreviation
self harm,kys,FALSE,kill yourself abbreviation
self harm,harm[\W_]*myself,FALSE,self-harm phrase

self harm,hurt (himself|herself|themselves),TRUE,regex: threat of self-harm
self harm,kill (himself|herself|themselves),TRUE,regex: threat of suicide
self harm,s[\W_]*u[\W_]*i[\W_]*c[\W_]*i[\W_]*d[\W_]*e,TRUE,regex: suicide variants
self harm,k[\W_]*(i|1|l)[\W_]*l[\W_]*l(?:ed|ing|s)?,TRUE,regex: kill variants
self harm,k[\W_]*(i|1|l)[\W_]*l[\W_]*l[\W_]*(myself|himself|herself|themselves),TRUE,regex: kill myself/himself/herself/themselves
self harm,cut(?:ting| myself),TRUE,regex: cutting variants
self harm,self[\W_]*injur(?:y|ies|ed),TRUE,regex: self-injury
self harm,overdose(?:d|ing)?,TRUE,regex: overdose attempts
self harm,s[\W_]*e[\W_]*l[\W_]*f[\W_]*h[\W_]*a[\W_]*r[\W_]*m,TRUE,regex: self-harm censored

trauma discussion,as a survivor,FALSE,personal survivor identifier
trauma discussion,i was abused,FALSE,first-person abuse disclosure
trauma discussion,my story of,FALSE,personal trauma narrative
trauma discussion,trigger warning: sa,FALSE,warning for sexual assault story
trauma discussion,content warning: rape,FALSE,warning for rape discussion
trauma discussion,i survived,FALSE,personal survival statement
trauma discussion,sharing my experience,FALSE,personal sharing
trauma discussion,healing from trauma,FALSE,recovery discussion
trauma discussion,ptsd from assault,FALSE,trauma aftermath
trauma discussion,trauma,FALSE,generic trauma term
trauma discussion,abuse,FALSE,generic abuse term

trauma discussion,s[\W_]*[a@4][\W_]*survivor,TRUE,regex: SA survivor variants
trauma discussion,"\b(tw|cw)\s*[:\-]?\s*(sa|sexual assault|rape|r\*pe|abuse)\b",TRUE,"regex: TW/CW for SA/rape/abuse"
trauma discussion,"\b(trigger|content)\s+warning\b.*\b(sa|sexual assault|rape|abuse)\b",TRUE,"regex: trigger/content warning for SA/abuse"

fictional depiction,in my book,FALSE,fictional story reference
fictional depiction,fanfic where,FALSE,fanfiction depiction
fictional depiction,story involving coercion,FALSE,fictional narrative
fictional depiction,depiction of abuse,FALSE,fictional abuse portrayal
fictional depiction,in the movie,FALSE,film depiction
fictional depiction,character experiences rape,FALSE,fictional assault
fictional depiction,dark romance with,FALSE,fictional dark themes
fictional depiction,trigger warning: fictional sa,FALSE,warning for fictional SA
fictional depiction,in my fanfic,FALSE,fanfic reference

fictional depiction,f[\W_]*i[\W_]*c[\W_]*t[\W_]*i[\W_]*o[\W_]*n[\W_]*a[\W_]*l[\W_]*depiction,TRUE,regex: fictional depiction variants

traumatic news,breaking: assault,FALSE,news headline assault
traumatic news,report: rape case,FALSE,news report on rape
traumatic news,victim of coercion,FALSE,news victim mention
traumatic news,incident involving sa,FALSE,news SA incident
traumatic news,convicted of assault,FALSE,news conviction
traumatic news,trial for abuse,FALSE,news abuse trial
traumatic news,scandal: sexual coercion,FALSE,news coercion scandal
traumatic news,trigger warning: news of rape,FALSE,warning for news rape
traumatic news,article about survivor,FALSE,news survivor story

traumatic news,n[\W_]*e[\W_]*w[\W_]*s[\W_]*of[\W_]*assault,TRUE,regex: news of assault variants
traumatic news,"\b(breaking|breaking news|headline|article|news report|news story)\b.*\b(assault|rape|sa|sexual abuse|sexual assault)\b",TRUE,"regex: news coverage of sexual harm"
traumatic news,"\b(report(ed)?|reported)\b.*\b(assault|rape|sa|sexual assault|abuse)\b",TRUE,"regex: reported assault/rape/abuse"
traumatic news,"\b(charged|indicted|convicted|sentenced)\b.*\b(assault|rape|sa|sexual abuse|sexual assault)\b",TRUE,"regex: legal case about sexual harm"
traumatic news,"\b(police|officers?)\b.*\b(assault|rape|sa|sexual assault)\b",TRUE,"regex: police report of sexual harm"

sexual violence,he assaulted me,FALSE,explicit assault disclosure
sexual violence,i was assaulted,FALSE,explicit survivor disclosure
